sales_id,client_id,product_id,crop_id,month,profit,cost,sales,volume,source,presentation,year
29,16,3,1,6,115135,90439,205574,1840,Ventas 2023,1X20,2023
30,16,17,1,6,30331,35474,65805,600,Ventas 2023,12X1,2023
31,16,17,1,6,46531,31738,78269,920,Ventas 2023,1X20,2023
32,16,17,1,6,115230,100020,215250,3000,Ventas 2023,1X200,2023
33,16,12,1,6,168852,63618,232470,1200,Ventas 2023,12X1,2023
34,16,2,1,6,134082,31968,166050,600,Ventas 2023,12X1,2023
35,16,2,57,3,134082,31968,166050,600,Ventas 2023,12X1,2023
36,16,12,1,6,110660,31200,141860,800,Ventas 2023,4X5,2023
37,54,2,1,4,105172,19181,124353,360,Ventas 2023,12X1,2023
38,16,12,1,6,112052,24374,136120,800,Ventas 2023,1X20,2023
39,16,12,10,3,385216,84092,469614,2760,Ventas 2023,1X20,2023
40,16,2,1,6,302848,43704,346553,1380,Ventas 2023,1X20,2023
41,16,2,10,3,403798,58272,462070,1840,Ventas 2023,1X20,2023
42,54,2,1,4,35985,8295,44280,120,Ventas 2023,48X250,2023
43,16,2,1,6,117657,21825,139482,540,Ventas 2023,4X5,2023
44,16,2,10,3,117657,21825,139482,540,Ventas 2023,4X5,2023
45,16,2,19,3,117657,21825,139482,540,Ventas 2023,4X5,2023
46,16,6,1,6,124604,165184,289788,2280,Ventas 2023,12X1,2023
47,16,6,1,6,275908,135240,411148,3680,Ventas 2023,1X20,2023
48,17,2,1,6,20950,7627,28512,144,Ventas 2023,12X1,2023
49,17,2,3,1,14654,5721,21258,108,Ventas 2023,12X1,2023
50,17,2,3,2,45855,18433,67136,348,Ventas 2023,12X1,2023
51,17,2,3,3,62516,22056,82036,416,Ventas 2023,12X1,2023
52,17,2,3,4,37039,13030,48571,246,Ventas 2023,12X1,2023
53,17,2,3,5,24442,8899,33264,168,Ventas 2023,12X1,2023
54,17,2,3,1,10855,3169,14448,84,Ventas 2023,1X20,2023
55,17,2,3,2,138267,43384,187450,1150,Ventas 2023,1X20,2023
56,17,2,3,3,7152,1886,8700,50,Ventas 2023,1X20,2023
57,17,2,3,4,2289,604,2784,16,Ventas 2023,1X20,2023
58,17,2,3,5,16515,4527,20880,120,Ventas 2023,1X20,2023
59,16,12,10,3,298491,84531,383022,2160,Ventas 2023,4X5,2023
60,54,43,1,4,252795,95787,348582,1308,Ventas 2023,12X1,2023
61,54,43,1,4,50477,23323,73800,240,Ventas 2023,48X250,2023
62,17,3,41,5,6368,13748,19800,180,Ventas 2023,12X1,2023
63,17,3,1,1,5352,19247,25830,252,Ventas 2023,12X1,2023
64,17,3,3,1,15113,54349,72939,712,Ventas 2023,12X1,2023
65,17,3,3,2,8323,24654,34554,323,Ventas 2023,12X1,2023
66,17,3,3,3,8223,15214,21912,199,Ventas 2023,12X1,2023
67,17,3,3,5,59649,128769,185460,1686,Ventas 2023,12X1,2023
68,17,3,3,1,1064,4139,5591,72,Ventas 2023,1X20,2023
69,17,3,3,2,2518,5749,8806,100,Ventas 2023,1X20,2023
70,17,3,3,3,11333,14372,23750,250,Ventas 2023,1X20,2023
71,55,9,1,4,460771,598259,1059030,1008,Ventas 2023,12X1,2023
72,55,9,1,4,1339549,1923941,3151875,3000,Ventas 2023,12X1,2023
73,55,9,5,1,326652,592574,970778,924,Ventas 2023,12X1,2023
74,55,9,5,2,1133172,1923941,3151875,3000,Ventas 2023,12X1,2023
75,56,9,1,6,3425537,6095044,9485883,9504,Ventas 2023,12X1,2023
76,55,9,1,4,17610,45220,62115,72,Ventas 2023,70X50,2023
77,55,9,57,5,16180,45220,62115,72,Ventas 2023,70X50,2023
78,17,5,41,4,725,481,1248,10,Ventas 2023,12X1,2023
79,17,5,41,5,12547,7448,19344,149,Ventas 2023,12X1,2023
80,17,5,3,1,6740,6367,13663,127,Ventas 2023,12X1,2023
81,17,5,3,4,2902,1922,4992,38,Ventas 2023,12X1,2023
82,17,5,3,5,6678,3964,10296,79,Ventas 2023,12X1,2023
83,55,44,5,2,-303630,-70,-303630,-1,Ventas 2023,12X1,2023
84,9,9,1,4,356548,271747,602208,408,Ventas 2023,12X1,2023
85,9,9,5,1,282024,239776,531360,360,Ventas 2023,12X1,2023
86,6,9,5,1,131367,335687,480438,504,Ventas 2023,12X1,2023
87,6,9,5,3,106345,271747,388926,408,Ventas 2023,12X1,2023
88,6,9,5,5,80067,167844,240219,252,Ventas 2023,12X1,2023
89,6,9,5,5,200359,447192,647551,720,Ventas 2023,4X5,2023
90,6,9,57,5,9075,56238,65313,86,Ventas 2023,70X50,2023
91,49,7,41,2,33250,6763,40013,60,Ventas 2023,1X20,2023
92,49,7,2,2,666068,134202,800270,2000,Ventas 2023,1X1000,2023
93,50,14,1,5,-226246,-44773,-271020,-1000,Ventas 2023,1X20,2023
94,50,14,2,5,226560,44773,271333,1000,Ventas 2023,1X20,2023
95,50,14,58,5,226560,44773,271333,1000,Ventas 2023,1X20,2023
96,17,6,1,1,3486,2733,6155,100,Ventas 2023,1X20,2023
97,57,14,1,6,409029,97073,506102,2000,Ventas 2023,4X5,2023
98,22,17,5,3,29758,35328,65086,800,Ventas 2023,1X20,2023
99,24,7,9,1,75663,47787,123730,480,Ventas 2023,12X1,2023
100,24,7,9,2,121846,62124,184332,624,Ventas 2023,12X1,2023
101,24,7,10,4,75790,39425,114572,396,Ventas 2023,12X1,2023
102,22,45,5,3,7958,43815,51773,480,Ventas 2023,12X1,2023
103,22,45,5,3,7113,28388,35501,400,Ventas 2023,1X20,2023
104,22,12,5,3,9105,3561,12666,100,Ventas 2023,1X20,2023
105,22,7,5,3,77532,36050,113582,360,Ventas 2023,12X1,2023
106,22,12,5,3,30111,24117,54228,360,Ventas 2023,12X1,2023
107,22,19,5,3,73125,37128,110253,360,Ventas 2023,12X1,2023
108,22,43,5,3,53237,34828,88065,360,Ventas 2023,12X1,2023
109,22,7,5,3,89299,27981,117280,400,Ventas 2023,1X20,2023
110,22,43,5,3,21814,14057,35871,120,Ventas 2023,48X250,2023
111,22,8,22,3,12996,5125,18120,19,Ventas 2023,70X100,2023
112,24,10,4,2,12354,15236,27591,250,Ventas 2023,10X1,2023
113,24,8,9,1,26765,6698,34072,60,Ventas 2023,48X250,2023
114,24,8,9,2,26199,6698,33506,60,Ventas 2023,48X250,2023
115,24,8,10,4,53455,13396,65633,120,Ventas 2023,48X250,2023
116,24,10,4,1,8671,39846,48516,480,Ventas 2023,16X1,2023
117,24,10,4,2,19608,57112,76721,688,Ventas 2023,16X1,2023
118,17,8,1,6,151014,14823,167508,396,Ventas 2023,12X1,2023
119,17,8,3,1,61751,5974,67125,160,Ventas 2023,12X1,2023
120,17,8,3,2,65625,6334,71322,169,Ventas 2023,12X1,2023
121,17,8,3,3,162583,15632,176645,418,Ventas 2023,12X1,2023
122,17,8,3,4,52168,5121,57866,137,Ventas 2023,12X1,2023
123,17,8,3,5,172064,16890,190858,451,Ventas 2023,12X1,2023
124,24,12,9,5,14785,12054,25584,190,Ventas 2023,12X1,2023
125,24,12,10,1,90005,90784,187059,1428,Ventas 2023,12X1,2023
126,24,12,10,5,59138,48215,102337,758,Ventas 2023,12X1,2023
127,17,8,3,1,21750,1295,22954,58,Ventas 2023,1X20,2023
128,24,43,9,2,77094,47851,129622,546,Ventas 2023,12X1,2023
129,24,43,10,4,126153,69410,184153,792,Ventas 2023,12X1,2023
130,24,43,22,1,25967,21033,49057,240,Ventas 2023,12X1,2023
131,24,43,22,2,77094,47851,129622,546,Ventas 2023,12X1,2023
132,24,43,9,1,22259,26479,52740,240,Ventas 2023,48X250,2023
133,24,43,10,4,46207,33098,75304,300,Ventas 2023,48X250,2023
134,24,45,10,4,61299,94785,156084,1368,Ventas 2023,12X1,2023
135,24,45,10,4,18167,22187,40354,400,Ventas 2023,12X1,2023
136,24,45,10,4,29327,42608,71935,660,Ventas 2023,4X5,2023
137,24,12,10,4,27108,28316,55423,552,Ventas 2023,12X1,2023
138,24,43,10,4,266131,101414,367545,1680,Ventas 2023,4X5,2023
139,17,46,41,2,160,115,280,2,Ventas 2023,4X1,2023
140,17,46,41,3,7686,5533,13440,86,Ventas 2023,4X1,2023
141,17,46,41,5,13101,8819,21420,138,Ventas 2023,4X1,2023
142,17,46,45,6,677,346,1003,5,Ventas 2023,4X1,2023
143,17,46,29,2,4897,3574,8613,56,Ventas 2023,4X1,2023
144,17,46,1,6,8563,5764,14000,90,Ventas 2023,4X1,2023
145,17,46,3,1,8310,6917,15456,108,Ventas 2023,4X1,2023
146,17,46,3,2,26551,20232,47590,316,Ventas 2023,4X1,2023
147,17,46,3,3,14811,10663,25900,167,Ventas 2023,4X1,2023
148,17,46,3,4,69252,49859,121100,779,Ventas 2023,4X1,2023
149,17,46,3,5,39817,26803,65100,419,Ventas 2023,4X1,2023
150,17,24,41,5,2004,376,2303,2,Ventas 2023,70X50,2023
151,17,24,3,1,10206,1956,12262,10,Ventas 2023,70X50,2023
152,17,24,3,2,5026,978,6054,5,Ventas 2023,70X50,2023
153,17,24,3,3,1603,301,1842,2,Ventas 2023,70X50,2023
154,17,23,41,3,2188,1683,4104,24,Ventas 2023,12X1,2023
155,17,23,41,5,5076,3366,8208,48,Ventas 2023,12X1,2023
156,17,23,41,6,34517,22887,55814,326,Ventas 2023,12X1,2023
157,17,23,48,2,2735,2104,5130,30,Ventas 2023,12X1,2023
158,17,23,3,2,2735,2104,5130,30,Ventas 2023,12X1,2023
159,17,23,3,3,2188,1683,4104,24,Ventas 2023,12X1,2023
160,17,23,3,5,7614,5049,12312,72,Ventas 2023,12X1,2023
161,17,12,45,6,833,283,1116,7,Ventas 2023,12X1,2023
162,17,47,48,1,16315,14106,30480,140,Ventas 2023,4X1,2023
163,17,47,48,2,10010,8816,18913,88,Ventas 2023,4X1,2023
164,17,47,1,2,-8126,-5642,-13824,-56,Ventas 2023,4X1,2023
165,17,47,1,6,25852,17632,43200,175,Ventas 2023,4X1,2023
166,17,47,3,1,1305,1128,2438,11,Ventas 2023,4X1,2023
167,17,47,3,2,32699,24333,57270,242,Ventas 2023,4X1,2023
168,17,47,3,3,2641,1834,4493,18,Ventas 2023,4X1,2023
169,17,47,3,4,19706,13683,33523,136,Ventas 2023,4X1,2023
170,17,47,3,5,46221,31527,77242,313,Ventas 2023,4X1,2023
171,17,47,3,6,20681,14106,34560,140,Ventas 2023,4X1,2023
172,17,45,1,6,18558,23368,40020,276,Ventas 2023,12X1,2023
173,17,45,3,1,1427,2235,3744,26,Ventas 2023,12X1,2023
174,17,45,3,2,10052,15748,26381,186,Ventas 2023,12X1,2023
175,17,45,3,4,12014,17780,30450,210,Ventas 2023,12X1,2023
176,17,45,3,5,4034,5080,8700,60,Ventas 2023,12X1,2023
177,17,45,1,2,-678,-1097,-1667,-20,Ventas 2023,1X20,2023
178,17,45,3,5,3758,2742,6500,50,Ventas 2023,1X20,2023
179,17,47,1,6,139840,18620,139840,266,Ventas 2023,12X1,2023
180,17,47,1,6,24000,9800,24000,140,Ventas 2023,12X1,2023
181,17,46,1,6,34430,6930,34430,99,Ventas 2023,12X1,2023
182,17,46,3,5,6260,1260,6260,18,Ventas 2023,12X1,2023
183,17,46,1,6,20660,12600,20660,180,Ventas 2023,12X1,2023
184,17,29,3,2,4797,3337,8340,60,Ventas 2023,12X1,2023
185,17,29,3,3,1919,1335,3336,24,Ventas 2023,12X1,2023
186,17,8,3,2,3750,223,3958,10,Ventas 2023,1X20,2023
187,17,8,3,3,12784,759,13566,34,Ventas 2023,1X20,2023
188,17,8,3,4,24064,1429,25536,64,Ventas 2023,1X20,2023
189,17,6,3,1,2486,4594,6637,77,Ventas 2023,12X1,2023
190,17,6,3,2,3123,7178,10370,120,Ventas 2023,12X1,2023
191,17,6,3,3,1496,2512,4032,42,Ventas 2023,12X1,2023
192,17,6,3,4,1709,2871,4608,48,Ventas 2023,12X1,2023
193,17,6,3,5,2350,3948,6336,66,Ventas 2023,12X1,2023
194,17,6,3,1,12549,9840,22158,360,Ventas 2023,1X20,2023
195,17,6,3,2,15625,10878,26247,398,Ventas 2023,1X20,2023
196,17,6,3,3,20420,10277,30456,376,Ventas 2023,1X20,2023
197,17,6,3,5,13488,7106,21060,260,Ventas 2023,1X20,2023
198,17,3,4,1,3313,11915,15990,156,Ventas 2023,12X1,2023
199,17,3,4,2,6120,18513,25818,242,Ventas 2023,12X1,2023
200,17,3,4,3,11344,20988,30228,275,Ventas 2023,12X1,2023
201,17,3,4,5,19105,41243,59400,540,Ventas 2023,12X1,2023
202,17,3,4,1,236,920,1242,16,Ventas 2023,1X20,2023
203,17,3,4,2,2518,5749,8806,100,Ventas 2023,1X20,2023
204,17,3,4,3,14506,18396,30400,320,Ventas 2023,1X20,2023
205,17,45,4,4,1716,2540,4350,30,Ventas 2023,12X1,2023
206,17,45,4,5,4034,5080,8700,60,Ventas 2023,12X1,2023
207,17,45,4,5,3758,2742,6500,50,Ventas 2023,1X20,2023
208,17,5,4,1,4069,3844,8250,77,Ventas 2023,12X1,2023
209,17,29,4,2,4797,3337,8340,60,Ventas 2023,12X1,2023
210,17,47,4,2,9344,6700,16110,67,Ventas 2023,4X1,2023
211,17,47,4,4,17268,11990,29376,119,Ventas 2023,4X1,2023
212,17,47,4,5,25851,17632,43200,175,Ventas 2023,4X1,2023
213,17,47,4,6,12926,8816,21600,88,Ventas 2023,4X1,2023
214,17,46,4,1,8310,6917,15456,108,Ventas 2023,4X1,2023
215,17,2,4,6,418,139,557,2,Ventas 2023,12X1,2023
216,17,24,4,1,3140,602,3773,3,Ventas 2023,70X50,2023
217,17,23,4,1,1934,1683,3834,24,Ventas 2023,12X1,2023
218,17,23,4,3,3282,2524,6156,36,Ventas 2023,12X1,2023
219,17,2,4,1,5210,2034,7558,38,Ventas 2023,12X1,2023
220,17,2,4,2,36086,14619,52964,276,Ventas 2023,12X1,2023
221,17,2,4,3,9908,3496,13002,66,Ventas 2023,12X1,2023
222,17,2,4,4,43324,15255,56825,288,Ventas 2023,12X1,2023
223,17,2,4,5,3492,1271,4752,24,Ventas 2023,12X1,2023
224,17,2,4,1,7237,2113,9632,56,Ventas 2023,1X20,2023
225,17,2,4,2,138267,43384,187450,1150,Ventas 2023,1X20,2023
226,17,2,4,3,33473,8828,40716,234,Ventas 2023,1X20,2023
227,17,2,4,4,3433,905,4176,24,Ventas 2023,1X20,2023
228,17,2,4,5,16515,4527,20880,120,Ventas 2023,1X20,2023
229,17,8,4,1,31108,3010,33815,80,Ventas 2023,12X1,2023
230,17,8,4,2,27408,2650,29792,71,Ventas 2023,12X1,2023
231,17,8,4,3,37376,3594,40608,96,Ventas 2023,12X1,2023
232,17,8,4,4,10525,1033,11675,28,Ventas 2023,12X1,2023
233,17,8,4,5,6864,674,7614,18,Ventas 2023,12X1,2023
234,17,8,4,1,15750,938,16622,42,Ventas 2023,1X20,2023
235,17,8,4,2,3750,223,3958,10,Ventas 2023,1X20,2023
236,17,8,4,3,9776,580,10374,26,Ventas 2023,1X20,2023
237,17,8,4,4,36096,2143,38304,96,Ventas 2023,1X20,2023
238,17,8,4,6,3022,179,3192,8,Ventas 2023,1X20,2023
239,17,6,4,1,777,1436,2074,24,Ventas 2023,12X1,2023
240,17,6,4,2,342,574,922,10,Ventas 2023,12X1,2023
241,17,6,4,3,1068,1795,2880,30,Ventas 2023,12X1,2023
242,17,6,4,4,2564,4307,6912,72,Ventas 2023,12X1,2023
243,17,6,4,1,6275,4920,11079,180,Ventas 2023,1X20,2023
244,17,6,4,2,4888,2460,7290,90,Ventas 2023,1X20,2023
245,17,6,4,3,18900,9512,28188,348,Ventas 2023,1X20,2023
246,17,6,4,5,5706,3007,8910,110,Ventas 2023,1X20,2023
247,17,45,9,2,8106,12700,21275,150,Ventas 2023,12X1,2023
248,17,24,9,2,9432,528,9960,8,Ventas 2023,12X1,2023
249,17,24,9,1,6280,1204,7546,6,Ventas 2023,70X50,2023
250,17,24,9,2,16493,3235,19894,17,Ventas 2023,70X50,2023
251,17,3,57,5,6793,14664,21120,192,Ventas 2023,12X1,2023
252,17,5,57,5,6071,3604,9360,72,Ventas 2023,12X1,2023
253,17,23,57,3,2188,1683,4104,24,Ventas 2023,12X1,2023
254,17,23,57,4,4267,2945,7182,42,Ventas 2023,12X1,2023
255,17,23,57,5,12690,8414,20520,120,Ventas 2023,12X1,2023
256,17,2,57,4,28109,9852,36828,186,Ventas 2023,12X1,2023
257,17,2,57,5,8729,3178,11880,60,Ventas 2023,12X1,2023
258,17,2,57,6,19204,6992,26136,132,Ventas 2023,12X1,2023
259,17,2,57,4,11444,3018,13920,80,Ventas 2023,1X20,2023
260,17,2,57,5,6881,1886,8700,50,Ventas 2023,1X20,2023
261,17,2,57,6,45966,12600,58116,334,Ventas 2023,1X20,2023
262,17,6,57,5,427,718,1152,12,Ventas 2023,12X1,2023
263,17,6,57,4,5188,2733,8100,100,Ventas 2023,1X20,2023
264,17,6,57,5,2594,1367,4050,50,Ventas 2023,1X20,2023
265,17,3,11,5,17831,38493,55440,504,Ventas 2023,12X1,2023
266,17,47,11,6,3680,490,3680,7,Ventas 2023,12X1,2023
267,17,46,11,6,14557,9799,23800,153,Ventas 2023,4X1,2023
268,17,46,11,6,61974,12474,61974,178,Ventas 2023,12X1,2023
269,17,46,11,6,8264,5040,8264,72,Ventas 2023,12X1,2023
270,17,3,12,1,7748,27862,37392,365,Ventas 2023,12X1,2023
271,17,3,12,2,1207,3208,4620,42,Ventas 2023,12X1,2023
272,17,3,12,3,991,1833,2640,24,Ventas 2023,12X1,2023
273,17,3,12,5,53705,115938,166980,1518,Ventas 2023,12X1,2023
274,17,3,12,1,11699,45529,61499,792,Ventas 2023,1X20,2023
275,17,3,12,3,2267,2874,4750,50,Ventas 2023,1X20,2023
276,17,47,12,3,30880,21441,52531,213,Ventas 2023,4X1,2023
277,17,47,12,4,37178,25814,63245,256,Ventas 2023,4X1,2023
278,17,47,12,6,14720,1960,14720,28,Ventas 2023,12X1,2023
279,17,46,12,1,58173,48418,108192,756,Ventas 2023,4X1,2023
280,17,46,12,2,65914,49974,117882,780,Ventas 2023,4X1,2023
281,17,46,12,4,34506,24843,60340,388,Ventas 2023,4X1,2023
282,17,46,12,5,174852,117701,285880,1838,Ventas 2023,4X1,2023
283,17,46,12,6,65219,43461,106213,679,Ventas 2023,4X1,2023
284,17,46,12,5,40690,8190,40690,117,Ventas 2023,12X1,2023
285,17,46,12,6,247896,49896,247896,713,Ventas 2023,12X1,2023
286,17,46,12,6,33056,20160,33056,288,Ventas 2023,12X1,2023
287,17,12,12,6,3331,1133,4464,29,Ventas 2023,12X1,2023
288,17,3,12,1,6969,9962,16930,200,Ventas 2023,1X20,2023
289,17,24,12,1,3925,752,4716,4,Ventas 2023,70X50,2023
290,17,24,12,2,12473,2408,15003,13,Ventas 2023,70X50,2023
291,17,24,12,3,6412,1204,7370,6,Ventas 2023,70X50,2023
292,17,23,12,3,1532,1178,2873,17,Ventas 2023,12X1,2023
293,17,23,12,6,14974,9929,24214,142,Ventas 2023,12X1,2023
294,17,2,32,6,70462,19315,89088,512,Ventas 2023,1X20,2023
295,17,8,32,6,12089,714,12768,32,Ventas 2023,1X20,2023
296,17,6,32,6,3320,1749,5184,64,Ventas 2023,1X20,2023
297,17,47,16,4,1016,705,1728,7,Ventas 2023,4X1,2023
298,17,47,16,6,15511,10579,25920,105,Ventas 2023,4X1,2023
299,17,47,16,6,6000,2450,6000,35,Ventas 2023,12X1,2023
300,17,3,59,1,2794,10616,13410,120,Ventas 2023,12X1,2023
301,17,24,37,5,2004,376,2303,2,Ventas 2023,70X50,2023
302,17,3,25,5,25897,55907,80520,732,Ventas 2023,12X1,2023
303,17,45,25,2,1297,2032,3404,24,Ventas 2023,12X1,2023
304,17,45,25,4,10298,15240,26100,180,Ventas 2023,12X1,2023
305,17,45,25,2,339,548,834,10,Ventas 2023,1X20,2023
306,17,45,25,4,3758,2742,6500,50,Ventas 2023,1X20,2023
307,17,5,25,3,2720,1802,4680,36,Ventas 2023,12X1,2023
308,17,5,25,2,9673,6997,16670,200,Ventas 2023,1X20,2023
309,17,5,25,3,30425,15742,46168,450,Ventas 2023,1X20,2023
310,17,5,25,4,10503,5247,15750,150,Ventas 2023,1X20,2023
311,17,29,25,4,1820,5540,7669,100,Ventas 2023,12X1,2023
312,17,29,25,5,33617,50623,84240,1296,Ventas 2023,4X5,2023
313,17,47,25,4,1016,705,1728,7,Ventas 2023,4X1,2023
314,17,47,25,5,18923,12907,31622,128,Ventas 2023,4X1,2023
315,17,47,25,6,7756,5290,12960,53,Ventas 2023,4X1,2023
316,17,47,25,6,6000,2450,6000,35,Ventas 2023,12X1,2023
317,17,46,25,2,3202,2306,5600,36,Ventas 2023,4X1,2023
318,17,23,25,5,2538,1683,4104,24,Ventas 2023,12X1,2023
319,17,2,25,1,4070,1589,5905,30,Ventas 2023,12X1,2023
320,17,2,25,2,15531,6038,22502,114,Ventas 2023,12X1,2023
321,17,2,25,4,4534,1589,5940,30,Ventas 2023,12X1,2023
322,17,2,25,5,5238,1907,7128,36,Ventas 2023,12X1,2023
323,17,2,25,2,12923,3772,17200,100,Ventas 2023,1X20,2023
324,17,2,25,3,41483,10940,50460,290,Ventas 2023,1X20,2023
325,17,2,25,4,21457,5659,26100,150,Ventas 2023,1X20,2023
326,17,8,25,1,13929,1348,15141,36,Ventas 2023,12X1,2023
327,17,8,25,2,56005,5390,60854,144,Ventas 2023,12X1,2023
328,17,8,25,3,32704,3144,35532,84,Ventas 2023,12X1,2023
329,17,8,25,4,42558,4177,47207,112,Ventas 2023,12X1,2023
330,17,8,25,5,95642,9388,106088,251,Ventas 2023,12X1,2023
331,17,8,25,6,11440,1123,12690,30,Ventas 2023,12X1,2023
332,17,8,25,1,15000,893,15830,40,Ventas 2023,1X20,2023
333,17,8,25,2,105748,6250,111558,280,Ventas 2023,1X20,2023
334,17,8,25,3,94000,5581,99750,250,Ventas 2023,1X20,2023
335,17,8,25,4,270720,16073,287280,720,Ventas 2023,1X20,2023
336,17,8,25,5,37778,2232,39900,100,Ventas 2023,1X20,2023
337,17,6,25,2,468,1077,1556,18,Ventas 2023,12X1,2023
338,17,6,25,5,1923,3230,5184,54,Ventas 2023,12X1,2023
339,17,6,25,1,4532,3553,8002,130,Ventas 2023,1X20,2023
340,17,6,25,2,1743,1367,3078,50,Ventas 2023,1X20,2023
341,17,6,25,3,18465,9293,27540,340,Ventas 2023,1X20,2023
342,17,6,25,5,23863,12573,37260,460,Ventas 2023,1X20,2023
343,17,6,33,2,9416,6698,16114,216,Ventas 2023,1X20,2023
344,17,29,35,4,11994,36507,50543,656,Ventas 2023,12X1,2023
345,17,29,35,5,50426,75934,126360,1944,Ventas 2023,4X5,2023
346,17,2,22,6,1673,558,2227,10,Ventas 2023,12X1,2023
347,17,3,24,1,20261,72862,97785,954,Ventas 2023,12X1,2023
348,17,3,24,3,99,183,264,2,Ventas 2023,12X1,2023
349,17,45,24,1,2594,4064,6808,48,Ventas 2023,12X1,2023
350,17,5,24,1,2543,2403,5156,48,Ventas 2023,12X1,2023
351,17,6,24,2,1046,744,1790,24,Ventas 2023,1X20,2023
352,17,23,24,6,6345,4207,10260,60,Ventas 2023,12X1,2023
353,17,2,24,1,20841,8136,30234,154,Ventas 2023,12X1,2023
354,17,2,24,3,9368,3305,12293,62,Ventas 2023,12X1,2023
355,17,8,24,1,37144,3594,40376,96,Ventas 2023,12X1,2023
356,17,8,24,3,38310,3683,41623,98,Ventas 2023,12X1,2023
357,17,6,24,1,5282,9762,14103,163,Ventas 2023,12X1,2023
358,17,6,24,2,3123,7178,10370,120,Ventas 2023,12X1,2023
359,17,6,24,1,19521,15306,34468,560,Ventas 2023,1X20,2023
360,17,6,24,2,3207,2515,5663,92,Ventas 2023,1X20,2023
361,17,29,27,3,7675,5339,13344,96,Ventas 2023,12X1,2023
362,17,47,27,2,72727,51134,124362,508,Ventas 2023,4X1,2023
363,17,47,27,3,5079,3526,8640,35,Ventas 2023,4X1,2023
364,17,47,28,1,5221,4514,9754,45,Ventas 2023,4X1,2023
365,17,46,28,2,23589,17177,41451,268,Ventas 2023,4X1,2023
366,17,46,28,3,61566,44325,107660,692,Ventas 2023,4X1,2023
367,17,46,28,4,64688,46573,113120,727,Ventas 2023,4X1,2023
368,17,46,28,5,36820,24785,60200,387,Ventas 2023,4X1,2023
369,17,46,28,6,17126,11528,28000,180,Ventas 2023,4X1,2023
370,17,23,28,2,7186,5890,13892,84,Ventas 2023,12X1,2023
371,17,3,23,5,1910,4124,5940,54,Ventas 2023,12X1,2023
372,17,45,23,2,339,548,834,10,Ventas 2023,1X20,2023
373,17,45,23,4,3758,2742,6500,50,Ventas 2023,1X20,2023
374,17,5,23,3,2720,1802,4680,36,Ventas 2023,12X1,2023
375,17,5,23,2,9673,6997,16670,200,Ventas 2023,1X20,2023
376,17,5,23,3,30425,15742,46168,450,Ventas 2023,1X20,2023
377,17,5,23,4,10503,5247,15750,150,Ventas 2023,1X20,2023
378,17,23,23,5,2538,1683,4104,24,Ventas 2023,12X1,2023
379,17,2,23,1,4070,1589,5905,30,Ventas 2023,12X1,2023
380,17,2,23,2,15531,6038,22502,114,Ventas 2023,12X1,2023
381,17,2,23,2,12923,3772,17200,100,Ventas 2023,1X20,2023
382,17,2,23,3,41483,10940,50460,290,Ventas 2023,1X20,2023
383,17,2,23,4,21457,5659,26100,150,Ventas 2023,1X20,2023
384,17,8,23,1,13929,1348,15141,36,Ventas 2023,12X1,2023
385,17,8,23,2,32646,3144,35474,84,Ventas 2023,12X1,2023
